iter	Passed	Remaining
0	150	150844
1	159	79508
2	170	56604
3	175	43779
4	179	35693
5	184	30554
6	187	26584
7	190	23625
8	193	21287
9	196	19483
10	200	17999
11	203	16777
12	209	15900
13	212	14970
14	215	14137
15	218	13445
16	222	12867
17	225	12305
18	229	11830
19	232	11390
20	235	10978
21	239	10651
22	242	10314
23	246	10021
24	249	9745
25	252	9471
26	256	9229
27	259	8991
28	264	8857
29	267	8645
30	275	8614
31	278	8428
32	284	8330
33	287	8158
34	290	8016
35	293	7863
36	298	7771
37	301	7643
38	304	7514
39	308	7396
40	311	7296
41	315	7188
42	318	7084
43	321	6988
44	324	6890
45	329	6823
46	332	6738
47	335	6646
48	338	6570
49	343	6522
50	345	6436
51	349	6373
52	353	6323
53	356	6252
54	353	6068
55	363	6125
56	366	6065
57	364	5914
58	375	5990
59	378	5931
60	381	5878
61	377	5711
62	380	5663
63	384	5620
64	387	5577
65	390	5529
66	393	5486
67	397	5445
68	403	5439
69	404	5378
70	408	5339
71	411	5306
72	414	5265
73	419	5254
74	426	5261
75	429	5222
76	432	5188
77	435	5151
78	438	5116
79	442	5088
80	446	5060
81	450	5047
82	453	5010
83	457	4984
84	459	4948
85	464	4935
86	467	4911
87	471	4890
88	476	4873
89	479	4849
90	482	4822
91	485	4795
92	487	4751
93	490	4725
94	493	4703
95	496	4674
96	500	4657
97	502	4629
98	506	4607
99	509	4585
100	514	4576
101	518	4566
102	523	4556
103	526	4533
104	529	4509
105	531	4486
106	535	4466
107	538	4444
108	543	4440
109	546	4419
110	549	4397
111	552	4379
112	557	4373
113	560	4354
114	563	4335
115	566	4316
116	571	4314
117	574	4291
118	577	4273
119	579	4247
120	581	4227
121	585	4211
122	588	4194
123	590	4170
124	595	4168
125	598	4151
126	601	4135
127	605	4122
128	609	4116
129	612	4098
130	615	4084
131	619	4073
132	624	4069
133	628	4059
134	631	4044
135	634	4028
136	639	4027
137	642	4012
138	646	4002
139	648	3986
140	653	3983
141	656	3967
142	660	3956
143	662	3940
144	667	3934
145	670	3923
146	673	3910
147	676	3896
148	679	3882
149	683	3870
150	685	3854
151	688	3841
152	691	3830
153	696	3825
154	699	3813
155	702	3798
156	705	3785
157	709	3781
158	713	3771
159	715	3758
160	719	3748
161	724	3747
162	727	3737
163	732	3733
164	735	3720
165	740	3720
166	743	3709
167	747	3700
168	750	3687
169	754	3682
170	758	3676
171	762	3669
172	767	3670
173	771	3660
174	774	3651
175	778	3643
176	781	3635
177	785	3625
178	788	3616
179	792	3611
180	795	3601
181	798	3590
182	802	3582
183	811	3599
184	814	3588
185	820	3591
186	826	3594
187	831	3590
188	834	3582
189	842	3593
190	846	3587
